hours_spent_per_day_on_ai,months_using_ai,confidence_in_ai_outputs,critical_thinking_self_rating,privacy_awareness_level,gender_encoded,age_group_encoded,country_encoded,profession_encoded,education_level_encoded,tech_experience_level_encoded,ai_tool_primary_encoded,purpose_of_ai_use_encoded,frequency_of_use_weekly_encoded,task_complexity_level_encoded,verification_frequency_encoded,shares_personal_info_with_ai_encoded,reads_ai_related_news_encoded,critical_thinking_risk_score,ai_overdependence_risk,incorrect_info_risk_score,privacy_concern_level,user_id
0.7541153851464355,0.8966004066465835,0.9035572675785827,-0.009994948275013231,0.07200753020407538,0.97687627668016,-0.5265959259848896,1.6255791321690582,0.8900105476535696,-1.0996154281072377,-1.124353728898956,-1.04090410216849,1.1607284284403752,0.7404060598888899,-1.023753591385653,-0.46092052271941314,0.874508941059765,-0.0662400723259823,4.2,7.1,5.8,6.3,USER_00001
-1.2213933861489925,-0.7894844288613719,-0.45879071901440255,0.5563854539757386,1.5709397915950283,-1.0001352356487352,-1.4518807571728092,-1.143674671275517,1.0780798989290288,2.0474320934117927,1.2451520634087612,-0.7508160736953041,-0.07641158933306555,-0.2705901664654175,-0.15138211000439483,1.2612001116168554,0.041643282907607895,1.3867679657923373,5.1,4.8,4.9,8.7,USER_00002
-0.17591309484654225,0.2221664724434013,0.22238327428209004,1.1227658562264904,-0.4276365569262423,0.97687627668016,0.39868890520303013,1.3948079818820103,0.13773314255173327,0.15920358050037448,1.2451520634087612,-0.46072804522211847,-0.901171601182026,0.7404060598888899,-0.15138211000439483,-1.3219808398875474,0.874508941059765,-0.0662400723259823,3.5,6.2,3.8,5.9,USER_00003
-1.3689151450444303,-1.126701395962963,-1.1399647123108951,0.5563854539757386,1.5709397915950283,-1.0001352356487352,0.8613313207969899,-0.6821323707014212,-0.6145442625501031,0.7886130848041806,-0.33451846479638364,-1.04090410216849,0.748348422515895,-1.2815863928197249,-1.023753591385653,-1.3219808398875474,-1.6240880333967063,0.6602639467331775,3.1,3.7,4.2,9.2,USER_00004
0.04216254873801817,1.5710343408497656,1.5847312608750752,-0.576375350525765,-0.92728064405656,2.953887789009055,-0.5265959259848896,-1.605216971849613,-0.8026136138255622,-1.0996154281072377,-1.124353728898956,0.9897120971438099,-0.4887915952575458,0.7404060598888899,-0.15138211000439483,-0.46092052271941314,0.874508941059765,1.3867679657923373,4.8,6.9,5.3,4.8,USER_00005
-0.38757474891390925,-1.2953098795137585,0.22238327428209004,-1.1427557527765169,-1.4269247311868776,0.97687627668016,-1.4518807571728092,-0.4513612204143732,1.0780798989290288,-0.4702059238034316,-0.33451846479638364,-1.04090410216849,-1.7259316130309865,0.7404060598888899,0.7209893713768633,1.2612001116168554,-0.7912223752445492,-0.792744091385142,6.2,5.8,6.8,3.4,USER_00006
-0.8878659312549594,-0.11505049465818978,-0.45879071901440255,0.5563854539757386,0.5716516173343931,-1.0001352356487352,-0.06395351039092972,-0.912903520988469,1.2661492502044878,0.15920358050037448,1.2451520634087612,0.40953604019743856,1.1607284284403752,-0.2705901664654175,-0.15138211000439483,-0.46092052271941314,0.041643282907607895,1.3867679657923373,4.1,4.9,4.5,7.2,USER_00007
1.3826863578313442,1.2338173737481746,-1.8211387056073878,1.1227658562264904,1.0712957044647107,0.97687627668016,1.3239737363909498,-0.22059007012732526,-0.426474911274644,-1.0996154281072377,0.45531679930618874,1.2798001256169957,0.3359684165914147,0.7404060598888899,1.5933608527581213,-1.3219808398875474,-1.6240880333967063,-1.5192481104443019,2.8,7.3,3.2,8.5,USER_00008
1.1774386932811696,0.5593834395449924,0.9035572675785827,-0.009994948275013231,-0.4276365569262423,-1.0001352356487352,-0.5265959259848896,-1.374445821562565,-1.1787523163764804,-1.0996154281072377,-1.124353728898956,0.11944801172425289,-0.4887915952575458,0.7404060598888899,-1.023753591385653,1.2612001116168554,0.874508941059765,-0.0662400723259823,5.7,8.1,6.2,5.6,USER_00009
-1.0995275853223268,-0.6208759453105764,-1.1399647123108951,1.1227658562264904,1.0712957044647107,0.97687627668016,0.39868890520303013,0.010181080159722668,-0.0503362087237258,0.15920358050037448,1.2451520634087612,-0.7508160736953041,0.748348422515895,-1.2815863928197249,-1.023753591385653,-1.3219808398875474,-1.6240880333967063,-0.0662400723259823,2.9,4.2,3.6,8.9,USER_00010
